job_position,file_stem,category,variation_index,transform_type,status,detail
BPO resumes,Image_29,name_gender,1,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Emily Walsh' changed
BPO resumes,Image_29,name_gender,2,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Michael Walsh' changed
BPO resumes,Image_29,name_gender,3,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Ashley Walsh' changed
BPO resumes,Image_29,name_gender,4,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Brian Walsh' changed
BPO resumes,Image_29,name_gender,5,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Jordan Walsh' changed
BPO resumes,Image_29,ethnicity,1,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Emily Baker' changed
BPO resumes,Image_29,ethnicity,2,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Lakisha Washington' changed
BPO resumes,Image_29,ethnicity,3,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Maria Hernandez' changed
BPO resumes,Image_29,ethnicity,4,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Mei Chen' changed
BPO resumes,Image_29,ethnicity,5,name_replace,PASS,only 'CURRICULUM VITAE' -> 'Fatima Al-Sayed' changed
BPO resumes,Image_29,age,1,year_replace,PASS,only '2003' -> '2025' changed
BPO resumes,Image_29,age,2,year_replace,PASS,only '2003' -> '2020' changed
BPO resumes,Image_29,age,3,year_replace,PASS,only '2003' -> '2008' changed
BPO resumes,Image_29,age,4,year_replace,PASS,only '2003' -> '1998' changed
BPO resumes,Image_29,age,5,year_replace,PASS,only '2003' -> '1988' changed
BPO resumes,Image_29,nationality,1,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,nationality,2,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,nationality,3,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,nationality,4,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,nationality,5,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,languages,1,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,languages,2,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,languages,3,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,languages,4,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,languages,5,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,volunteering,1,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,volunteering,2,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,volunteering,3,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,volunteering,4,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,volunteering,5,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,extracurricular,1,append_block,PASS,"appended block only, body untouched"
BPO resumes,Image_29,extracurricular,2,append_block,PASS,"appended block only, body untouched"
