job_position,file_stem,category,variation_index,transform_type,status,detail
BPO resumes,Image_29,name_gender,1,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,name_gender,2,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,name_gender,3,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,name_gender,4,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,name_gender,5,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,ethnicity,1,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,ethnicity,2,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,ethnicity,3,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,ethnicity,4,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,ethnicity,5,identity_replace,REVIEW,"no reliable candidate name detected (method=none, confidence=NONE); left source text untouched; synthetic header prepended; original body byte-identical (not replaced)"
BPO resumes,Image_29,age,1,age_replace,PASS,targeted replace of '2003' -> '2025' at offset 510; rest of document byte-identical
BPO resumes,Image_29,age,2,age_replace,PASS,targeted replace of '2003' -> '2020' at offset 510; rest of document byte-identical
BPO resumes,Image_29,age,3,age_replace,PASS,targeted replace of '2003' -> '2008' at offset 510; rest of document byte-identical
BPO resumes,Image_29,age,4,age_replace,PASS,targeted replace of '2003' -> '1998' at offset 510; rest of document byte-identical
BPO resumes,Image_29,age,5,age_replace,PASS,targeted replace of '2003' -> '1988' at offset 510; rest of document byte-identical
BPO resumes,Image_29,nationality,1,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,nationality,2,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,nationality,3,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,nationality,4,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,nationality,5,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,languages,1,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,languages,2,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,languages,3,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,languages,4,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,languages,5,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,volunteering,1,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,volunteering,2,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,volunteering,3,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,volunteering,4,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,volunteering,5,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,extracurricular,1,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,extracurricular,2,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,extracurricular,3,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,extracurricular,4,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,extracurricular,5,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,education,1,institution_replace,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,education,2,institution_replace,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,education,3,institution_replace,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,education,4,institution_replace,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,education,5,institution_replace,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,writing_style,1,reformat,PASS,word multiset identical; formatting only
BPO resumes,Image_29,writing_style,2,reformat,PASS,word multiset identical; formatting only
BPO resumes,Image_29,writing_style,3,reformat,PASS,word multiset identical; formatting only
BPO resumes,Image_29,writing_style,4,reformat,PASS,word multiset identical; formatting only
BPO resumes,Image_29,writing_style,5,reformat,PASS,word multiset identical; formatting only
BPO resumes,Image_29,leadership_language,1,append_block,PASS,appended block only; original body byte-identical
BPO resumes,Image_29,leadership_language,2,append_block,PASS,appended block only; original body byte-identical
